TransactionNo,Items,DateTime,Daypart,DayType
118.0,Pastry,2016-10-31 11:18:29,Morning,Weekday
119.0,Coffee,2016-10-31 11:25:56,Morning,Weekday
119.0,Coffee,2016-10-31 11:25:56,Morning,Weekday
119.0,Muffin,2016-10-31 11:25:56,Morning,Weekday
120.0,Farm House,2016-10-31 11:29:01,Morning,Weekday
121.0,Coffee,2016-10-31 11:30:59,Morning,Weekday
121.0,Bread,2016-10-31 11:30:59,Morning,Weekday
122.0,Cookies,2016-10-31 11:37:30,Morning,Weekday
123.0,Jam,2016-10-31 11:42:05,Morning,Weekday
123.0,Coffee,2016-10-31 11:42:05,Morning,Weekday
123.0,Coffee,2016-10-31 11:42:05,Morning,Weekday
123.0,Juice,2016-10-31 11:42:05,Morning,Weekday
124.0,Coffee,2016-10-31 11:43:10,Morning,Weekday
124.0,Soup,,Morning,Weekday
125.0,Tea,2016-10-31 11:47:18,Morning,Weekday
126.0,Coffee,2016-10-31 11:52:43,Morning,Weekday
126.0,Jam,2016-10-31 11:52:43,Morning,Weekday
127.0,Farm House,2016-10-31 11:53:11,Morning,Weekday
128.0,Tartine,2016-10-31 11:55:00,Morning,Weekday
128.0,Coffee,2016-10-31 11:55:00,Morning,Weekday
128.0,Tea,2016-10-31 11:55:00,Morning,Weekday
129.0,Coffee,2016-10-31 11:59:23,Morning,Weekday
129.0,Coffee,2016-10-31 11:59:23,Morning,Weekday
129.0,Cake,2016-10-31 11:59:23,Morning,Weekday
130.0,Coffee,2016-10-31 12:03:12,Afternoon,Weekday
130.0,Coffee,2016-10-31 12:03:12,Afternoon,Weekday
130.0,Muffin,2016-10-31 12:03:12,Afternoon,Weekday
131.0,Bread,2016-10-31 12:08:28,Afternoon,Weekday
131.0,Coffee,2016-10-31 12:08:28,Afternoon,Weekday
132.0,Tea,2016-10-31 12:14:20,Afternoon,Weekday
132.0,Juice,2016-10-31 12:14:20,Afternoon,Weekday
132.0,Pick and Mix Bowls,2016-10-31 12:14:20,Afternoon,Weekday
132.0,Cookies,2016-10-31 12:14:20,Afternoon,Weekday
133.0,Hearty & Seasonal,2016-10-31 12:16:32,Afternoon,Weekday
133.0,Soup,2016-10-31 12:16:32,Afternoon,Weekday
134.0,Hearty & Seasonal,2016-10-31 12:19:37,Afternoon,Weekday
134.0,Tea,2016-10-31 12:19:37,,Weekday
134.0,Farm House,2016-10-31 12:19:37,Afternoon,Weekday
135.0,Bread,,Afternoon,Weekday
136.0,Tea,2016-10-31 12:27:41,Afternoon,Weekday
136.0,Soup,2016-10-31 12:27:41,Afternoon,Weekday
137.0,Farm House,2016-10-31 12:37:07,Afternoon,Weekday
138.0,Soup,2016-10-31 12:43:35,Afternoon,Weekday
138.0,Hearty & Seasonal,2016-10-31 12:43:35,Afternoon,Weekday
138.0,Coffee,2016-10-31 12:43:35,Afternoon,Weekday
139.0,Bread,2016-10-31 12:50:57,Afternoon,Weekday
139.0,Muffin,2016-10-31 12:50:57,Afternoon,Weekday
139.0,Hearty & Seasonal,,Afternoon,Weekday
140.0,Coffee,2016-10-31 12:53:33,Afternoon,Weekday
140.0,Coffee,2016-10-31 12:53:33,Afternoon,Weekday
140.0,Cookies,2016-10-31 12:53:33,Afternoon,Weekday
141.0,Bread,2016-10-31 12:54:28,Afternoon,
142.0,Tea,2016-10-31 12:56:47,Afternoon,Weekday
142.0,Muffin,2016-10-31 12:56:47,Afternoon,Weekday
143.0,Tea,2016-10-31 12:59:08,Afternoon,Weekday
144.0,Soup,2016-10-31 13:02:11,Afternoon,Weekday
144.0,Hearty & Seasonal,2016-10-31 13:02:11,Afternoon,Weekday
145.0,Coffee,2016-10-31 13:05:49,Afternoon,Weekday
145.0,Tea,2016-10-31 13:05:49,Afternoon,Weekday
145.0,Focaccia,2016-10-31 13:05:49,Afternoon,Weekday
146.0,Sandwich,2016-10-31 13:08:30,Afternoon,Weekday
147.0,Tartine,2016-10-31 13:09:31,Afternoon,Weekday
147.0,Coffee,2016-10-31 13:09:31,Afternoon,Weekday
148.0,Fudge,2016-10-31 13:21:17,Afternoon,Weekday
148.0,Coffee,2016-10-31 13:21:17,Afternoon,Weekday
148.0,Coffee,2016-10-31 13:21:17,Afternoon,Weekday
149.0,Coffee,2016-10-31 13:26:03,Afternoon,Weekday
150.0,Bread,2016-10-31 13:31:33,Afternoon,Weekday
151.0,Coke,2016-10-31 13:50:17,Afternoon,Weekday
151.0,Soup,2016-10-31 13:50:17,Afternoon,Weekday
152.0,Muffin,2016-10-31 13:51:18,Afternoon,Weekday
,Tea,2016-10-31 13:55:22,Afternoon,Weekday
153.0,Coffee,2016-10-31 13:55:22,Afternoon,Weekday
153.0,Cookies,2016-10-31 13:55:22,Afternoon,Weekday
153.0,Muffin,2016-10-31 13:55:22,Afternoon,Weekday
154.0,Mighty Protein,2016-10-31 14:00:21,Afternoon,Weekday
154.0,Hearty & Seasonal,2016-10-31 14:00:21,Afternoon,Weekday
154.0,Coffee,2016-10-31 14:00:21,Afternoon,Weekday
154.0,Coke,2016-10-31 14:00:21,Afternoon,Weekday
155.0,Tea,2016-10-31 14:01:30,Afternoon,Weekday
155.0,Muffin,2016-10-31 14:01:30,Afternoon,Weekday
155.0,Sandwich,2016-10-31 14:01:30,Afternoon,Weekday
156.0,Coffee,2016-10-31 14:04:16,Afternoon,Weekday
156.0,Muffin,2016-10-31 14:04:16,Afternoon,Weekday
157.0,Coffee,2016-10-31 14:05:07,Afternoon,Weekday
157.0,Bread,2016-10-31 14:05:07,Afternoon,Weekday
158.0,Coffee,2016-10-31 14:20:29,Afternoon,Weekday
158.0,Muffin,2016-10-31 14:20:29,Afternoon,Weekday
159.0,Bread,2016-10-31 14:22:31,Afternoon,Weekday
159.0,Hot chocolate,2016-10-31 14:22:31,Afternoon,Weekday
159.0,Cookies,2016-10-31 14:22:31,Afternoon,Weekday
160.0,Mineral water,2016-10-31 14:35:27,Afternoon,Weekday
160.0,Muffin,2016-10-31 14:35:27,Afternoon,Weekday
161.0,Tea,2016-10-31 14:42:34,Afternoon,Weekday
162.0,Muffin,2016-10-31 14:44:48,Afternoon,Weekday
163.0,Coffee,2016-10-31 14:47:16,Afternoon,Weekday
163.0,Juice,2016-10-31 14:47:16,Afternoon,
164.0,Coffee,2016-10-31 14:47:36,Afternoon,Weekday
164.0,Muffin,2016-10-31 14:47:36,Afternoon,Weekday
165.0,Tea,2016-10-31 14:48:49,Afternoon,Weekday
,Coffee,2016-10-31 14:49:28,Afternoon,Weekday
166.0,Muffin,2016-10-31 14:49:28,Afternoon,Weekday
167.0,Sandwich,2016-10-31 14:50:42,Afternoon,Weekday
167.0,Hearty & Seasonal,2016-10-31 14:50:42,Afternoon,Weekday
167.0,Bread,2016-10-31 14:50:42,Afternoon,Weekday
167.0,Mineral water,2016-10-31 14:50:42,Afternoon,Weekday
168.0,Tea,2016-10-31 14:56:25,Afternoon,Weekday
168.0,Coffee,2016-10-31 14:56:25,Afternoon,Weekday
169.0,Mineral water,2016-10-31 15:05:17,Afternoon,Weekday
170.0,Coffee,2016-10-31 15:16:49,Afternoon,Weekday
171.0,Soup,2016-10-31 15:20:16,Afternoon,Weekday
171.0,Tea,2016-10-31 15:20:16,Afternoon,Weekday
172.0,Bread,2016-10-31 17:06:47,Evening,Weekday
172.0,Coffee,2016-10-31 17:06:47,Evening,Weekday
173.0,Bread,2016-10-31 17:08:09,Evening,Weekday
173.0,Muffin,2016-10-31 17:08:09,Evening,Weekday
,Coffee,2016-10-31 17:40:21,Evening,Weekday
175.0,Bread,2016-10-31 17:49:42,Evening,Weekday
176.0,Cookies,2016-10-31 18:22:24,Evening,Weekday
176.0,Coffee,2016-10-31 18:22:24,Evening,Weekday
178.0,Coffee,2016-01-11 07:51:20,Morning,Weekday
178.0,Pastry,2016-01-11 07:51:20,Morning,Weekday
179.0,Coffee,2016-01-11 08:20:50,Morning,Weekday
179.0,Pastry,2016-01-11 08:20:50,Morning,Weekday
180.0,Jam,2016-01-11 08:22:28,Morning,Weekday
180.0,Tea,2016-01-11 08:22:28,Morning,Weekday
181.0,Tea,2016-01-11 08:45:20,Morning,Weekday
181.0,Tea,2016-01-11 08:45:20,Morning,Weekday
182.0,Pastry,2016-01-11 09:07:47,Morning,Weekday
182.0,Pastry,2016-01-11 09:07:47,Morning,Weekday
182.0,Ella's Kitchen Pouches,2016-01-11 09:07:47,Morning,Weekday
183.0,Pastry,2016-01-11 09:09:26,Morning,Weekday
,Farm House,2016-01-11 09:26:03,Morning,Weekday
184.0,Tea,2016-01-11 09:26:03,Morning,Weekday
185.0,Tea,2016-01-11 09:29:25,Morning,Weekday
185.0,Victorian Sponge,2016-01-11 09:29:25,Morning,Weekday
186.0,Tea,2016-01-11 09:43:13,Morning,Weekday
186.0,Pastry,2016-01-11 09:43:13,Morning,Weekday
187.0,Bread,2016-01-11 10:02:27,Morning,Weekday
188.0,Coffee,2016-01-11 10:04:05,Morning,Weekday
189.0,Bread,2016-01-11 10:29:02,Morning,Weekday
189.0,Coffee,2016-01-11 10:29:02,Morning,Weekday
190.0,Coffee,2016-01-11 10:34:53,Morning,Weekday
190.0,Pastry,2016-01-11 10:34:53,Morning,Weekday
190.0,Pastry,2016-01-11 10:34:53,Morning,Weekday
191.0,Soup,2016-01-11 10:50:50,Morning,Weekday
191.0,Tea,2016-01-11 10:50:50,Morning,Weekday
192.0,Bread,2016-01-11 10:56:08,Morning,Weekday
193.0,Coffee,2016-01-11 11:00:48,Morning,Weekday
194.0,,2016-01-11 11:04:36,Morning,Weekday
194.0,Bread,2016-01-11 11:04:36,Morning,Weekday
195.0,Bread,2016-01-11 11:06:09,Morning,Weekday
195.0,Scandinavian,2016-01-11 11:06:09,Morning,Weekday
196.0,Bread,2016-01-11 11:08:18,Morning,Weekday
196.0,Cake,2016-01-11 11:08:18,Morning,Weekday
196.0,Cookies,2016-01-11 11:08:18,Morning,Weekday
197.0,Coffee,2016-01-11 11:10:11,Morning,Weekday
197.0,Coffee,2016-01-11 11:10:11,Morning,Weekday
197.0,Tea,2016-01-11 11:10:11,Morning,Weekday
198.0,Coffee,2016-01-11 11:11:58,Morning,Weekday
198.0,Cookies,2016-01-11 11:11:58,Morning,Weekday
199.0,Coffee,2016-01-11 11:13:20,Morning,Weekday
200.0,Bread,2016-01-11 11:16:30,Morning,Weekday
201.0,Coffee,2016-01-11 11:22:36,Morning,Weekday
201.0,Pastry,2016-01-11 11:22:36,Morning,Weekday
202.0,Coffee,2016-01-11 11:23:19,Morning,Weekday
202.0,Coffee,2016-01-11 11:23:19,Morning,Weekday
203.0,Coffee,2016-01-11 11:25:53,Morning,Weekday
204.0,Scandinavian,2016-01-11 11:30:00,Morning,Weekday
204.0,Bread,2016-01-11 11:30:00,Morning,Weekday
205.0,Coffee,2016-01-11 11:49:31,Morning,Weekday
205.0,Coffee,2016-01-11 11:49:31,Morning,Weekday
205.0,,2016-01-11 11:49:31,Morning,Weekday
206.0,Scandinavian,2016-01-11 11:54:17,Morning,Weekday
206.0,Coffee,2016-01-11 11:54:17,Morning,Weekday
206.0,Pastry,2016-01-11 11:54:17,Morning,Weekday
207.0,Hearty & Seasonal,2016-01-11 12:03:37,Afternoon,Weekday
207.0,Coffee,2016-01-11 12:03:37,Afternoon,Weekday
207.0,Muffin,2016-01-11 12:03:37,Afternoon,Weekday
208.0,Bread,2016-01-11 12:10:09,Afternoon,Weekday
209.0,Coffee,2016-01-11 12:10:38,Afternoon,Weekday
210.0,Scandinavian,2016-01-11 12:12:26,Afternoon,Weekday
211.0,Soup,2016-01-11 12:15:36,Afternoon,Weekday
211.0,Coffee,2016-01-11 12:15:36,Afternoon,Weekday
212.0,Coffee,2016-01-11 12:20:30,Afternoon,Weekday
212.0,Cookies,2016-01-11 12:20:30,Afternoon,Weekday
212.0,Tartine,,Afternoon,Weekday
213.0,Bread,2016-01-11 12:22:04,Afternoon,Weekday
214.0,Bread,2016-01-11 12:26:43,Afternoon,Weekday
214.0,Tea,2016-01-11 12:26:43,Afternoon,Weekday
214.0,Tea,2016-01-11 12:26:43,Afternoon,Weekday
